,data,labels,group,generalisation
0,set a warning for when my bank account starts running low,ood,validation,near-OOD
1,a show on broadway,ood,validation,near-OOD
2,who has the best record in the nfl,ood,validation,near-OOD
3,how do i find the area of a circle,ood,validation,near-OOD
4,how many onions do i have on hand,ood,validation,near-OOD
5,what is the name of the 13th president,ood,validation,near-OOD
6,show me recent activity in my backyard,ood,validation,near-OOD
7,how long will it take me to pay off my card if i pay an extra $50 a month over the minimum,ood,validation,near-OOD
8,does our bank have free notary,ood,validation,near-OOD
9,what were the top stories this week,ood,validation,near-OOD
10,can i mix antifreeze with water,ood,validation,near-OOD
11,are any earning reports due,ood,validation,near-OOD
12,show me the channel guide,ood,validation,near-OOD
13,is the pnc bank open,ood,validation,near-OOD
14,where does the power steering fluid go,ood,validation,near-OOD
15,when was the last time the president visited floridau,ood,validation,near-OOD
16,how can i keep my windshield from fogging up in winter,ood,validation,near-OOD
17,how do i compute the median of a set of numbers,ood,validation,near-OOD
18,what is happening with brexit right nowu,ood,validation,near-OOD
19,are there any new companies to look out for,ood,validation,near-OOD
20,can you tell me how to compute price per ounce,ood,validation,near-OOD
21,how to unclog a drain,ood,validation,near-OOD
22,am kind of busy now,ood,validation,near-OOD
23,what new reality shows are there for 2019,ood,validation,near-OOD
24,what is the purpose or benefit of a cash advance,ood,validation,near-OOD
25,how can i root an android phone,ood,validation,near-OOD
26,is android better than iphone,ood,validation,near-OOD
27,are androids expensive,ood,validation,near-OOD
28,how long does it take to become an architect,ood,validation,near-OOD
29,who are some famous living architects,ood,validation,near-OOD
30,find out for me as to why people get autism,ood,validation,near-OOD
31,is autism a genetic disease,ood,validation,near-OOD
32,is flu contagious,ood,validation,near-OOD
33,is it true that nicotine is harder to kick than heroin,ood,validation,near-OOD
34,please inform me on bad habits and overcoming them,ood,validation,near-OOD
35,are bad habits closely related with addictions,ood,validation,near-OOD
36,does hypnosis work to break bad habits,ood,validation,near-OOD
37,king of acid,ood,validation,near-OOD
38,suo2,ood,validation,near-OOD
39,what university in the united states offers the best biomedical engineering program,ood,validation,near-OOD
40,what's the definition of nuclear engineering,ood,validation,near-OOD
41,when was electrical engineering created,ood,validation,near-OOD
42,what is naval engineering,ood,validation,near-OOD
43,is it possible to survive in a black hole,ood,validation,near-OOD
44,where do black holes come from,ood,validation,near-OOD
45,what are black holes,ood,validation,near-OOD
46,what was the final vote count in the brexit referendum,ood,validation,near-OOD
47,can you tell me the latest georgia news,ood,validation,near-OOD
48,is the brexit finalized yet,ood,validation,near-OOD
49,the birds fly with there wings,ood,validation,near-OOD
50,how the birds fly,ood,validation,near-OOD
51,where does cannabis originate from,ood,validation,near-OOD
52,how are my cannabis stocks doing,ood,validation,near-OOD
53,is marijuana addictive,ood,validation,near-OOD
54,should i hit or stay at 17 in blackjack,ood,validation,near-OOD
55,what game has the best odds at a casino,ood,validation,near-OOD
56,what's the best opening gambit for a game of chess,ood,validation,near-OOD
57,what side in chess has the general advantage,ood,validation,near-OOD
58,how do i get better at go,ood,validation,near-OOD
59,how high does my sat score need to be to get into harvard,ood,validation,near-OOD
60,what'll an education at boulder state college run,ood,validation,near-OOD
61,what's the average gpa to get into yale,ood,validation,near-OOD
62,what act score is considered good,ood,validation,near-OOD
63,what cryptocurrency gained the most in 2018,ood,validation,near-OOD
64,what's the best crypto to buy in 2019,ood,validation,near-OOD
65,how is crypto legal,ood,validation,near-OOD
66,are there any cybersecurity jobs available in pittsburgh,ood,validation,near-OOD
67,how many firewalls should i have and what type,ood,validation,near-OOD
68,how can i breach a network,ood,validation,near-OOD
69,how does cybersecurity work,ood,validation,near-OOD
70,how many countries in the world are democracies,ood,validation,near-OOD
71,is the united states a democracy,ood,validation,near-OOD
72,which nations are not democratic,ood,validation,near-OOD
73,how does a democracy work,ood,validation,near-OOD
